acl 2.3.1-1
libsynctex 2021.58686-3
libtasn1 4.18.0-1
libteam 1.31-3
libthai 0.1.28-2
libtiff 4.3.0-1
libtirpc 1.3.2-1
libtool 2.4.6+42+gb88cebd5-16
libunistring 0.9.10-3
libunwind 1.5.0-1
libusb 1.0.24-2
libuv 1.42.0-1
libvorbis 1.3.7-2
libwacom 1.12-1
libwebp 1.2.1-2
libx11 1.7.2-1
libxau 1.0.9-3
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.26-1
libxcursor 1.2.0-2
libxcvt 0.1.1-1
libxdamage 1.1.5-3
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3
libxkbcommon 1.3.1-1
libxkbcommon-x11 1.3.1-1
libxkbfile 1.1.0-2
libxml2 2.9.12-2
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyuv r2266+eb6e7bb6-1
licenses 20200427-1
linux 5.15.2.arch1-1
linux-api-headers 5.12.3-1
linux-firmware 20211027.1d00989-1
linux-headers 5.15.2.arch1-1
llvm 13.0.0-3
llvm-libs 13.0.0-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lxappearance-gtk3 0.6.3-4
lxmenu-data 0.1.5-3
lxsession 1:0.5.5-1
lz4 1:1.9.3-2
lzo 2.10-3
m17n-db 1.8.0-3
m17n-lib 1.8.0-10
make 4.3-3
md4c 0.4.8-1
menu-cache 1.1.0-2
mesa 21.2.5-1
mesa-demos 8.4.0-4
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mobile-broadband-provider-info 20210805-1
mpfr 4.1.0.p13-1
mtdev 1.1.6-1
nano 5.9-1
ncurses 6.3-1
neofetch 7.1.0-2
nerd-fonts-ubuntu-mono 2.1.0-2
nettle 3.7.3-1
networkmanager 1.32.12-1
nitrogen 1.6.1-4
nm-connection-editor 1.24.0-1
node-gyp 8.2.0-1
nodejs 16.11.1-1
nodejs-nopt 5.0.0-2
npm 8.1.3-1
npth 1.6-3
nspr 4.32-1
nss 3.72-1
ntfs-3g 2021.8.22-1
ntp 4.2.8.p15-1
numactl 2.0.14-1
nvidia-dkms 495.44-3
nvidia-utils 495.44-3
openjpeg2 2.4.0-1
openssh 8.8p1-1
openssl 1.1.1.l-1
optimus-manager 1.4-2
opus 1.3.1-2
orc 0.4.32-1
p11-kit 0.24.0-2
p7zip 1:17.04-3
pacman 6.0.1-2
pacman-mirrorlist 20211114-1
pahole 1.22-1
pam 1.5.2-1
pambase 20211111-1
pango 1:1.48.10-1
pangomm 2.46.1-2
patch 2.7.6-8
pciutils 3.7.0-1
pcmanfm 1.3.2-1
pcre 8.45-1
pcre2 10.39-1
perl 5.34.0-2
perl-error 0.17029-3
perl-file-which 1.24-2
